study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA842889	SAMN28690154	SRX15537934	SRR19484813	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/013/SRR19484813/SRR19484813.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/013/SRR19484813
PRJNA842889	SAMN28690153	SRX15537933	SRR19484814	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/014/SRR19484814/SRR19484814.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/014/SRR19484814
PRJNA842889	SAMN28690152	SRX15537932	SRR19484815	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/015/SRR19484815/SRR19484815.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/015/SRR19484815
PRJNA842889	SAMN28690151	SRX15537931	SRR19484816	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/016/SRR19484816/SRR19484816.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/016/SRR19484816
PRJNA842889	SAMN28690150	SRX15537930	SRR19484817	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/017/SRR19484817/SRR19484817.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/017/SRR19484817
PRJNA842889	SAMN28690149	SRX15537929	SRR19484818	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/018/SRR19484818/SRR19484818.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/018/SRR19484818
PRJNA842889	SAMN28690148	SRX15537928	SRR19484819	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/019/SRR19484819/SRR19484819.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/019/SRR19484819
PRJNA842889	SAMN28690147	SRX15537927	SRR19484820	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/020/SRR19484820/SRR19484820.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/020/SRR19484820
PRJNA842889	SAMN28690146	SRX15537926	SRR19484821	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/021/SRR19484821/SRR19484821.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/021/SRR19484821
PRJNA842889	SAMN28690145	SRX15537925	SRR19484822	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/022/SRR19484822/SRR19484822.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/022/SRR19484822
PRJNA842889	SAMN28690064	SRX15537924	SRR19484823	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/023/SRR19484823/SRR19484823.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/023/SRR19484823
PRJNA842889	SAMN28690144	SRX15537923	SRR19484824	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/024/SRR19484824/SRR19484824.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/024/SRR19484824
PRJNA842889	SAMN28690143	SRX15537922	SRR19484825	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/025/SRR19484825/SRR19484825.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/025/SRR19484825
PRJNA842889	SAMN28690142	SRX15537921	SRR19484826	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/026/SRR19484826/SRR19484826.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/026/SRR19484826
PRJNA842889	SAMN28690141	SRX15537920	SRR19484827	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/027/SRR19484827/SRR19484827.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/027/SRR19484827
PRJNA842889	SAMN28690140	SRX15537919	SRR19484828	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/028/SRR19484828/SRR19484828.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/028/SRR19484828
PRJNA842889	SAMN28690139	SRX15537918	SRR19484829	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/029/SRR19484829/SRR19484829.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/029/SRR19484829
PRJNA842889	SAMN28690138	SRX15537917	SRR19484830	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/030/SRR19484830/SRR19484830.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/030/SRR19484830
PRJNA842889	SAMN28690137	SRX15537916	SRR19484831	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/031/SRR19484831/SRR19484831.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/031/SRR19484831
PRJNA842889	SAMN28690136	SRX15537915	SRR19484832	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/032/SRR19484832/SRR19484832.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/032/SRR19484832
PRJNA842889	SAMN28690135	SRX15537914	SRR19484833	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/033/SRR19484833/SRR19484833.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/033/SRR19484833
PRJNA842889	SAMN28690063	SRX15537913	SRR19484834	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/034/SRR19484834/SRR19484834.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/034/SRR19484834
PRJNA842889	SAMN28690327	SRX15537911	SRR19484835	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/035/SRR19484835/SRR19484835.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/035/SRR19484835
PRJNA842889	SAMN28690326	SRX15537910	SRR19484836	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/036/SRR19484836/SRR19484836.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/036/SRR19484836
PRJNA842889	SAMN28690325	SRX15537909	SRR19484837	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/037/SRR19484837/SRR19484837.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/037/SRR19484837
PRJNA842889	SAMN28690082	SRX15537908	SRR19484838	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/038/SRR19484838/SRR19484838.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/038/SRR19484838
PRJNA842889	SAMN28690324	SRX15537907	SRR19484839	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/039/SRR19484839/SRR19484839.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/039/SRR19484839
PRJNA842889	SAMN28690323	SRX15537906	SRR19484840	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/040/SRR19484840/SRR19484840.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/040/SRR19484840
